Kabupaten,Kecamatan,Total Prelist,Total Draft,Total Open,Total Submitted,Total Rejected,Total Approved,Submitted Pencacah,Submitted Respondent,Persentase,Today Completed,Yesterday Completed,New Usaha,New Rumah
[09] TOJO UNA-UNA,[060] UNA - UNA,2893,86,1448,1359,309,711,339,0,46.98,0,0,216,165
[09] TOJO UNA-UNA,[061] BATUDAKA,2066,2,714,1350,150,518,682,0,65.34,0,0,117,53
[09] TOJO UNA-UNA,[070] TOGEAN,3618,131,1391,2096,65,1424,607,0,57.93,0,0,255,74
[09] TOJO UNA-UNA,[080] WALEA KEPULAUAN,1826,143,635,1048,71,703,274,0,57.39,0,0,138,84
[09] TOJO UNA-UNA,[081] WALEA BESAR,1535,13,506,1016,60,514,442,0,66.19,0,0,88,33
[09] TOJO UNA-UNA,[082] TALATAKO,2007,30,867,1110,232,603,275,0,55.31,0,0,49,88
[10] SIGI,[000] -,15,0,0,15,0,0,9,6,100.0,0,0,15,0
[10] SIGI,[010] PIPIKORO,3554,0,1242,2312,15,1728,569,0,65.05,0,0,135,32
[10] SIGI,[020] KULAWI SELATAN,3799,12,1896,1891,20,1334,537,0,49.78,0,0,180,54
[10] SIGI,[030] KULAWI,6580,13,3251,3316,249,3015,52,0,50.4,0,0,197,104
[10] SIGI,[040] LINDU,2146,3,1109,1034,18,977,39,0,48.18,0,0,112,12
[10] SIGI,[050] NOKILALAKI,2494,13,876,1605,3,1489,113,0,64.35,0,0,106,59
[10] SIGI,[060] PALOLO,12676,344,5848,6484,128,5988,368,0,51.15,0,0,468,281
[10] SIGI,[070] GUMBASA,6388,163,2183,4042,283,2574,1185,0,63.27,0,0,211,162
[10] SIGI,[080] DOLO SELATAN,7863,144,2746,4973,108,3383,1482,0,63.25,0,0,373,258
[10] SIGI,[090] DOLO BARAT,7654,304,2502,4848,67,4184,597,0,63.34,0,0,432,291
[10] SIGI,[100] TANAMBULAVA,4781,87,1364,3330,17,2409,904,0,69.65,0,0,193,100
[10] SIGI,[110] DOLO,10639,185,4682,5772,315,4072,1385,0,54.25,0,0,372,266
[10] SIGI,[120] SIGI BIROMARU,21967,394,9252,12321,186,10527,1608,0,56.09,0,0,1298,560
[10] SIGI,[121] SIGI KOTA,7948,343,3264,4341,27,4156,158,0,54.62,0,0,397,316
[10] SIGI,[130] MARAWOLA,14028,211,6556,7261,197,6657,405,2,51.76,0,0,655,615
[10] SIGI,[140] MARAWOLA BARAT,2491,26,946,1519,2,1503,14,0,60.98,0,0,144,36
[10] SIGI,[150] KINOVARO,4704,66,1774,2864,155,1917,792,0,60.88,0,0,144,118
[11] BANGGAI LAUT,[000] -,5,1,1,3,0,0,0,3,60.0,0,0,2,0
[11] BANGGAI LAUT,[010] BANGKURUNG,3786,27,1213,2546,24,2296,226,0,67.25,0,0,232,89
[11] BANGGAI LAUT,[020] LABOBO,2317,66,980,1271,8,1220,43,0,54.86,0,0,130,48
[11] BANGGAI LAUT,[030] BANGGAI UTARA,3117,81,753,2283,17,1637,629,0,73.24,0,0,171,83
[11] BANGGAI LAUT,[040] BANGGAI,11598,156,3986,7456,37,6676,722,21,64.29,0,0,370,549
[11] BANGGAI LAUT,[050] BANGGAI TENGAH,3781,1,1207,2573,9,2346,218,0,68.05,0,0,142,168
[11] BANGGAI LAUT,[060] BANGGAI SELATAN,2459,3,800,1656,13,1448,195,0,67.34,0,0,68,106
[11] BANGGAI LAUT,[070] BOKAN KEPULAUAN,4746,101,2091,2554,13,2468,73,0,53.81,0,0,261,163
[12] MOROWALI UTARA,[000] -,1,0,1,0,0,0,0,0,0.0,0,0,1,0
[12] MOROWALI UTARA,[010] MORI ATAS,4534,57,2297,2180,27,1974,179,0,48.08,0,0,84,56
[12] MOROWALI UTARA,[020] LEMBO,5998,63,2968,2967,5,2881,81,0,49.47,0,0,285,92
[12] MOROWALI UTARA,[030] LEMBO RAYA,3225,123,1031,2071,13,1911,147,0,64.22,0,0,249,51
[12] MOROWALI UTARA,[040] PETASIA TIMUR,7795,114,4008,3673,43,2909,720,1,47.12,0,0,430,207
[12] MOROWALI UTARA,[050] PETASIA,8068,302,4111,3655,24,1180,2451,0,45.3,0,0,414,188
[12] MOROWALI UTARA,[060] PETASIA BARAT,2822,2,1507,1313,66,1095,152,0,46.53,0,0,120,57
[12] MOROWALI UTARA,[070] MORI UTARA,3244,109,1060,2075,130,1219,726,0,63.96,0,0,92,124
[12] MOROWALI UTARA,[080] SOYO JAYA,3453,62,1466,1925,72,1598,255,0,55.75,0,0,185,122
[12] MOROWALI UTARA,[090] BUNGKU UTARA,5162,11,2313,2838,88,2353,397,0,54.98,0,0,237,72
[12] MOROWALI UTARA,[100] MAMOSALATO,3569,11,1609,1949,665,855,429,0,54.61,0,0,191,19
[71] PALU,[000] -,59,21,11,27,0,0,0,27,45.76,0,0,12,0
[71] PALU,[010] PALU BARAT,23553,562,10966,12025,209,7048,4765,3,51.06,0,0,1030,831
[71] PALU,[011] TATANGA,27144,808,13566,12770,772,8053,3942,3,47.05,0,0,792,1031
[71] PALU,[012] ULUJADI,17551,730,8134,8687,186,6527,1973,1,49.5,0,0,693,955
[71] PALU,[020] PALU SELATAN,37061,2377,19715,14969,627,11211,3125,6,40.39,0,0,1731,986
[71] PALU,[030] PALU TIMUR,23914,1156,10788,11970,619,8691,2657,3,50.05,0,0,567,894
[71] PALU,[031] MANTIKULORE,46302,2034,24492,19776,623,15786,3364,3,42.71,0,0,1870,1803
[71] PALU,[040] PALU UTARA,11677,610,6038,5029,80,3899,1048,2,43.07,0,0,339,399
[71] PALU,[041] TAWAELI,10379,451,4746,5182,83,2975,2122,2,49.93,0,0,303,261
